plate_text,plate_count,detection_count,max_confidence,bbox_summary,raw_plate_text,high_conf_detection,all_unique_plates,unique_plate_count,frame_plate_text
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
"[""36A-341.87"", ""36A-044.39""]","[1, 1]",2,0.0,,"[""36A\n341.87"", ""36A\n044.39""]",False,"[""36A-341.87"", ""36A-044.39""]","[1, 1]","[""36A-341.87"", ""36A-044.39""]"
